1,The Weeknd,Blinding Lights,2020
2,Post Malone,Circles,2020
3,Roddy Ricch,The Box,2020
4,Dua Lipa,Don't Start Now,2020
5,DaBaby Featuring Roddy Ricch,Rockstar,2020
6,Harry Styles,Adore You,2020
7,Future Featuring Drake,Life Is Good,2020
8,Maroon 5,Memories,2020
9,Maren Morris,The Bones,2020
10,Lewis Capaldi,Someone You Loved,2020
11,Doja Cat,Say So,2020
12,Gabby Barrett,I Hope,2020
13,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,2020
14,Tones And I,Dance Monkey,2020
15,Megan Thee Stallion,Savage,2020
16,Arizona Zervas,Roxanne,2020
17,Justin Bieber Featuring Quavo,Intentions,2020
18,Billie Eilish,Everything I Wanted,2020
19,SAINt JHN,Roses,2020
20,Harry Styles,Watermelon Sugar,2020
21,Lewis Capaldi,Before You Go,2020
22,Trevor Daniel,Falling,2020
23,Dan + Shay & Justin Bieber,"10,000 Hours",2020
24,Cardi B Featuring Megan Thee Stallion,WAP,2020
25,Mustard & Roddy Ricch,Ballin',2020
26,blackbear,Hot Girl Bummer,2020
27,Lil Mosey,Blueberry Faygo,2020
28,The Weeknd,Heartless,2020
29,DaBaby,BOP,2020
30,Selena Gomez,Lose You To Love Me,2020
31,Lizzo,Good As Hell,2020
32,Drake,Toosie Slide,2020
33,Dua Lipa,Break My Heart,2020
34,Morgan Wallen,Chasin' You,2020
35,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),2020
36,Chris Brown Featuring Drake,No Guidance,2020
37,Camila Cabello Featuring DaBaby,My Oh My,2020
38,BTS,Dynamite,2020
39,Chris Brown & Young Thug,Go Crazy,2020
40,Roddy Ricch Featuring Mustard,High Fashion,2020
41,Drake Featuring Lil Durk,Laugh Now Cry Later,2020
42,Lil Baby,Woah,2020
43,Powfu Featuring beabadoobee,Death Bed,2020
44,Shawn Mendes & Camila Cabello,Senorita,2020
45,Travis Scott,HIGHEST IN THE ROOM,2020
46,Billie Eilish,Bad Guy,2020
47,24kGoldn Featuring iann dior,Mood,2020
48,Lady Gaga & Ariana Grande,Rain On Me,2020
49,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,2020
50,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),2020
51,Rod Wave,Heart On Ice,2020
52,Blake Shelton Duet With Gwen Stefani,Nobody But You,2020
53,SHAED,Trampoline,2020
54,Juice WRLD x Marshmello,Come & Go,2020
55,Lizzo,Truth Hurts,2020
56,JP Saxe Featuring Julia Michaels,If The World Was Ending,2020
57,Lil Baby & 42 Dugg,We Paid,2020
58,Justin Bieber,Yummy,2020
59,Old Dominion,One Man Band,2020
60,Jason Aldean,Got What I Got,2020
61,Surfaces,Sunday Best,2020
62,Eminem Featuring Juice WRLD,Godzilla,2020
63,Juice WRLD & YoungBoy Never Broke Again,Bandit,2020
64,StaySolidRocky,Party Girl,2020
65,Maddie & Tae,Die From A Broken Heart,2020
66,DJ Khaled Featuring Drake,Popstar,2020
67,Mariah Carey,All I Want For Christmas Is You,2020
68,Lee Brice,One Of Them Girls,2020
69,Sam Hunt,Hard To Forget,2020
70,Luke Bryan,One Margarita,2020
71,Lil Nas X,Panini,2020
72,Young Thug Featuring Gunna,Hot,2020
73,Carly Pearce & Lee Brice,I Hope You're Happy Now,2020
74,Lil Baby,Emotionally Scarred,2020
75,YNW Melly & Juice WRLD,Suicidal,2020
76,Lil Baby,The Bigger Picture,2020
77,Jonas Brothers,Only Human,2020
78,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,2020
79,Lil Baby,Sum 2 Prove,2020
80,Ariana Grande & Justin Bieber,Stuck With U,2020
81,Pop Smoke Featuring Lil Tjay,Mood Swings,2020
82,Halsey,You Should Be Sad,2020
83,Pop Smoke,Dior,2020
84,BENEE Featuring Gus Dapperton,Supalonely,2020
85,Luke Combs,Even Though I'm Leaving,2020
86,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,2020
87,Doja Cat & Tyga,Juicy,2020
88,Kane Brown With Swae Lee & Khalid,Be Like That,2020
89,Kane Brown,Homesick,2020
90,Rod Wave Featuring ATR Son Son,Rags2Riches,2020
91,Miranda Lambert,Bluebird,2020
92,Juice WRLD,Wishing Well,2020
93,Luke Combs Featuring Eric Church,Does To Me,2020
94,Jhene Aiko,P*$$y Fairy (OTW),2020
95,Surf Mesa Featuring Emilee,ily,2020
96,Morgan Wallen,More Than My Hometown,2020
97,Luke Combs,Lovin' On You,2020
98,Moneybagg Yo,Said Sum,2020
99,H.E.R. Featuring YG,Slide,2020